Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Yemen,2015,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,163.957478
Yemen,2015,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,86.71691
Yemen,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,57.296104
Yemen,2015,Somalia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.703099
Yemen,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27.843015
Yemen,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,754.198499
Yemen,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,708.489226
Yemen,2015,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,563.62688
Yemen,2015,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,452.525232
Yemen,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,373.282496
Yemen,2015,World,Animal,Export,Export(US$ Mil),142.979483
Yemen,2015,World,Vegetable,Export,Export(US$ Mil),130.56624
Yemen,2015,World,Food Products,Export,Export(US$ Mil),39.308618
Yemen,2015,World,Minerals,Export,Export(US$ Mil),0.312622
Yemen,2015,World,Fuels,Export,Export(US$ Mil),0.99653
Yemen,2015,World,Chemicals,Export,Export(US$ Mil),13.382311
Yemen,2015,World,Plastic or Rubber,Export,Export(US$ Mil),2.291953
Yemen,2015,World,Hides and Skins,Export,Export(US$ Mil),10.956286
Yemen,2015,World,Wood,Export,Export(US$ Mil),0.998908
Yemen,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.992659
Yemen,2015,World,Footwear,Export,Export(US$ Mil),0.155395
Yemen,2015,World,Stone and Glass,Export,Export(US$ Mil),4.935163
Yemen,2015,World,Metals,Export,Export(US$ Mil),8.318
Yemen,2015,World,Mach and Elec,Export,Export(US$ Mil),49.296589
Yemen,2015,World,Transportation,Export,Export(US$ Mil),102.896096
Yemen,2015,World,Miscellaneous,Export,Export(US$ Mil),1.470876
Yemen,2015,World,Raw materials,Export,Export(US$ Mil),217.01144
Yemen,2015,World,Intermediate goods,Export,Export(US$ Mil),72.386641
Yemen,2015,World,Consumer goods,Export,Export(US$ Mil),139.922144
Yemen,2015,World,Capital goods,Export,Export(US$ Mil),80.479087
Yemen,2015,World,Raw materials,Import,Import(US$ Mil),1275.188939
Yemen,2015,World,Intermediate goods,Import,Import(US$ Mil),1517.887642
Yemen,2015,World,Consumer goods,Import,Import(US$ Mil),3057.45708000001
Yemen,2015,World,Capital goods,Import,Import(US$ Mil),702.417575
Yemen,2015,World,All Products,Export,Exports (in US$ Mil),509.857735
Yemen,2015,World,All Products,Import,Imports (in US$ Mil),6572.822909
Yemen,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3368827.381
Yemen,2017,...,...,Development,GDP (current US$ Mil),31267.67521625
Yemen,2015,...,...,Tariff,No. Of Tariff Agreement,2
Yemen,2015,...,...,Import,No. Of Import partners,128
Yemen,2015,...,...,Import,No. Of Import products,2856
Yemen,2015,...,...,Export,No. Of Export partners,76
Yemen,2015,...,...,Export,No. Of Export products,773
Yemen,2016,...,...,Others,Population,27584213
Yemen,2018,...,...,Others,Ease of Doing Business Rank,186
Yemen,2018,...,...,Others,Trading Across Borders Rank,189
Yemen,2017,...,...,Others,CPIA Trade Ratings,3
Yemen,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0456168
Yemen,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0605565
Yemen,,...,...,Others,Services Trade Restrictions Index - Over All,31.9
Yemen,2015,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,32.1575
Yemen,2015,Oman,All Products,Export,Partner share(%)-Top 5 Export Partner,17.0081
Yemen,2015,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,11.2377
Yemen,2015,Somalia,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6103
Yemen,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,5.4609
Yemen,2015,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,11.4745
Yemen,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.7791
Yemen,2015,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5751
Yemen,2015,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,6.8848
Yemen,2015,India,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6792
Yemen,2015,World,Animal,Export,Export Product share(%),28.043
Yemen,2015,World,Vegetable,Export,Export Product share(%),25.6084
Yemen,2015,World,Food Products,Export,Export Product share(%),7.7097
Yemen,2015,World,Minerals,Export,Export Product share(%),0.0613
Yemen,2015,World,Fuels,Export,Export Product share(%),0.1955
Yemen,2015,World,Chemicals,Export,Export Product share(%),2.6247
Yemen,2015,World,Plastic or Rubber,Export,Export Product share(%),0.4495
Yemen,2015,World,Hides and Skins,Export,Export Product share(%),2.1489
Yemen,2015,World,Wood,Export,Export Product share(%),0.1959
Yemen,2015,World,Textiles and Clothing,Export,Export Product share(%),0.1947
Yemen,2015,World,Footwear,Export,Export Product share(%),0.0305
Yemen,2015,World,Stone and Glass,Export,Export Product share(%),0.9679
Yemen,2015,World,Metals,Export,Export Product share(%),1.6314
Yemen,2015,World,Mach and Elec,Export,Export Product share(%),9.6687
Yemen,2015,World,Transportation,Export,Export Product share(%),20.1813
Yemen,2015,World,Miscellaneous,Export,Export Product share(%),0.2885
Yemen,2015,World,Raw materials,Export,Export Product share(%),42.5631
Yemen,2015,World,Intermediate goods,Export,Export Product share(%),14.1974
Yemen,2015,World,Consumer goods,Export,Export Product share(%),27.4434
Yemen,2015,World,Capital goods,Export,Export Product share(%),15.7846
Yemen,2015,World,Raw materials,Import,Import Product share(%),19.4009
Yemen,2015,World,Intermediate goods,Import,Import Product share(%),23.0934
Yemen,2015,World,Consumer goods,Import,Import Product share(%),46.5167
